# L, beta_pc, chi_max
10, 0.26465307216702744, 5.623413251903491
20, 0.26965307216702744, 18.914832180063517
30, 0.2713197388336941, 38.45583057566107
40, 0.27215307216702744, 63.62165830136405
50, 0.27265307216702744, 94.01507732715984
60, 0.2729864055003608, 129.34948030671032
70, 0.273224500738456, 169.40318447455113
80, 0.27340307216702747, 213.99689759245504
90, 0.2735419610559163, 262.98101153483015
100, 0.27365307216702744, 316.22776601683796
110, 0.27374398125793653, 373.6260934295772
120, 0.2738197388336941, 435.0780572193746
130, 0.2738838413977967, 500.49629458596456
140, 0.2739387864527417, 569.802122228855
150, 0.2739864055003608, 642.9240966822299
