# e, |m|, m2, m4 [calculated 2025-01-16 12:55:05.507987]
-2.18, 0.69, 0.4760999999999999, 0.22667120999999993
-2.19, 0.77, 0.5929, 0.35153041
-2.03, 0.745, 0.555025, 0.308052750625
-2.33, 0.845, 0.7140249999999999, 0.5098317006249999
-2.56, 0.915, 0.8372250000000001, 0.7009457006250001
-2.21, 0.79, 0.6241000000000001, 0.3895008100000001
-2.14, 0.82, 0.6723999999999999, 0.4521217599999999
-1.86, 0.655, 0.42902500000000005, 0.18406245062500004
-1.89, 0.66, 0.43560000000000004, 0.18974736000000003
-2.15, 0.81, 0.6561000000000001, 0.4304672100000001
-2.28, 0.745, 0.555025, 0.308052750625
-2.09, 0.745, 0.555025, 0.308052750625
-1.86, 0.46, 0.2116, 0.044774560000000005
-2.34, 0.835, 0.697225, 0.4861227006249999
-2.33, 0.865, 0.748225, 0.559840650625
-2.26, 0.83, 0.6889, 0.4745832099999999
-2.42, 0.88, 0.7744, 0.59969536
-2.42, 0.865, 0.748225, 0.559840650625
-2.31, 0.83, 0.6889, 0.4745832099999999
-2.25, 0.82, 0.6723999999999999, 0.4521217599999999
-2.47, 0.895, 0.801025, 0.6416410506250001
-2.51, 0.9, 0.81, 0.6561
-2.54, 0.905, 0.819025, 0.670801950625
-2.36, 0.845, 0.7140249999999999, 0.5098317006249999
-2.33, 0.845, 0.7140249999999999, 0.5098317006249999
-2.49, 0.895, 0.801025, 0.6416410506250001
-2.49, 0.87, 0.7569, 0.57289761
-2.46, 0.865, 0.748225, 0.559840650625
-2.31, 0.87, 0.7569, 0.57289761
-2.03, 0.72, 0.5184, 0.26873855999999996
-2.11, 0.735, 0.540225, 0.291843050625
-2.12, 0.74, 0.5476, 0.29986576
-2.15, 0.745, 0.555025, 0.308052750625
-2.05, 0.595, 0.354025, 0.125333700625
-2.31, 0.83, 0.6889, 0.4745832099999999
-2.37, 0.86, 0.7395999999999999, 0.54700816
-2.44, 0.9, 0.81, 0.6561
-2.65, 0.94, 0.8835999999999999, 0.7807489599999998
-2.35, 0.865, 0.748225, 0.559840650625
-2.4, 0.855, 0.7310249999999999, 0.5343975506249999
-2.2, 0.81, 0.6561000000000001, 0.4304672100000001
-2.16, 0.795, 0.6320250000000001, 0.3994556006250001
-2.04, 0.63, 0.39690000000000003, 0.15752961000000001
-2.09, 0.64, 0.4096, 0.16777216
-2.41, 0.875, 0.765625, 0.586181640625
-2.29, 0.84, 0.7055999999999999, 0.49787135999999993
-2.22, 0.805, 0.6480250000000001, 0.4199364006250001
-2.64, 0.935, 0.8742250000000001, 0.7642693506250001
-2.27, 0.72, 0.5184, 0.26873855999999996
-2.24, 0.715, 0.5112249999999999, 0.26135100062499994
-2.27, 0.83, 0.6889, 0.4745832099999999
-2.13, 0.775, 0.6006250000000001, 0.36075039062500003
-2.23, 0.825, 0.6806249999999999, 0.4632503906249999
-2.55, 0.905, 0.819025, 0.670801950625
-2.59, 0.93, 0.8649000000000001, 0.7480520100000002
-2.55, 0.915, 0.8372250000000001, 0.7009457006250001
-2.19, 0.825, 0.6806249999999999, 0.4632503906249999
-2.42, 0.835, 0.697225, 0.4861227006249999
-2.42, 0.85, 0.7224999999999999, 0.5220062499999999
-2.44, 0.89, 0.7921, 0.62742241
-2.35, 0.825, 0.6806249999999999, 0.4632503906249999
-2.27, 0.825, 0.6806249999999999, 0.4632503906249999
-2.43, 0.855, 0.7310249999999999, 0.5343975506249999
-2.36, 0.87, 0.7569, 0.57289761
-2.48, 0.885, 0.7832250000000001, 0.6134414006250001
-2.51, 0.89, 0.7921, 0.62742241
-2.37, 0.82, 0.6723999999999999, 0.4521217599999999
-2.21, 0.775, 0.6006250000000001, 0.36075039062500003
-1.89, 0.65, 0.42250000000000004, 0.17850625000000003
-2.2, 0.735, 0.540225, 0.291843050625
-2.36, 0.855, 0.7310249999999999, 0.5343975506249999
-2.16, 0.685, 0.46922500000000006, 0.22017210062500006
-2.22, 0.795, 0.6320250000000001, 0.3994556006250001
-2.21, 0.785, 0.616225, 0.3797332506250001
-2.45, 0.87, 0.7569, 0.57289761
-2.4, 0.855, 0.7310249999999999, 0.5343975506249999
-2.61, 0.925, 0.8556250000000001, 0.7320941406250001
-2.49, 0.88, 0.7744, 0.59969536
-2.01, 0.775, 0.6006250000000001, 0.36075039062500003
-1.92, 0.72, 0.5184, 0.26873855999999996
-1.86, 0.61, 0.3721, 0.13845840999999998
-1.84, 0.47, 0.22089999999999999, 0.04879680999999999
-1.86, 0.475, 0.225625, 0.05090664062499999
-1.85, 0.47, 0.22089999999999999, 0.04879680999999999
-2.13, 0.72, 0.5184, 0.26873855999999996
-2.02, 0.445, 0.198025, 0.039213900625
-2.23, 0.82, 0.6723999999999999, 0.4521217599999999
-2.19, 0.82, 0.6723999999999999, 0.4521217599999999
-2.36, 0.845, 0.7140249999999999, 0.5098317006249999
-2.33, 0.84, 0.7055999999999999, 0.49787135999999993
-2.38, 0.89, 0.7921, 0.62742241
-2.24, 0.825, 0.6806249999999999, 0.4632503906249999
-2.18, 0.71, 0.5041, 0.25411680999999997
-2.33, 0.815, 0.664225, 0.44119485062499986
-2.16, 0.815, 0.664225, 0.44119485062499986
-2.15, 0.81, 0.6561000000000001, 0.4304672100000001
-2.38, 0.87, 0.7569, 0.57289761
-2.32, 0.85, 0.7224999999999999, 0.5220062499999999
-2.15, 0.83, 0.6889, 0.4745832099999999
-1.93, 0.63, 0.39690000000000003, 0.15752961000000001
-1.98, 0.625, 0.390625, 0.152587890625
-2.09, 0.77, 0.5929, 0.35153041
-2.49, 0.87, 0.7569, 0.57289761
-2.29, 0.825, 0.6806249999999999, 0.4632503906249999
-2.3, 0.83, 0.6889, 0.4745832099999999
-1.98, 0.75, 0.5625, 0.31640625
-2.03, 0.77, 0.5929, 0.35153041
-2.05, 0.78, 0.6084, 0.3701505600000001
-2.55, 0.915, 0.8372250000000001, 0.7009457006250001
-2.69, 0.945, 0.893025, 0.7974936506249999
-2.44, 0.86, 0.7395999999999999, 0.54700816
-2.51, 0.88, 0.7744, 0.59969536
-2.21, 0.79, 0.6241000000000001, 0.3895008100000001
-2.45, 0.895, 0.801025, 0.6416410506250001
-2.62, 0.905, 0.819025, 0.670801950625
-2.63, 0.925, 0.8556250000000001, 0.7320941406250001
-2.21, 0.8, 0.6400000000000001, 0.4096000000000001
-2.22, 0.805, 0.6480250000000001, 0.4199364006250001
-2.23, 0.8, 0.6400000000000001, 0.4096000000000001
-2.17, 0.775, 0.6006250000000001, 0.36075039062500003
-2.55, 0.92, 0.8464, 0.7163929600000001
-2.51, 0.915, 0.8372250000000001, 0.7009457006250001
-2.44, 0.9, 0.81, 0.6561
-2.55, 0.895, 0.801025, 0.6416410506250001
-2.5, 0.905, 0.819025, 0.670801950625
-2.64, 0.92, 0.8464, 0.7163929600000001
-2.68, 0.94, 0.8835999999999999, 0.7807489599999998
-2.4, 0.885, 0.7832250000000001, 0.6134414006250001
